 NOT 322.63400000 56522.83657016776318471 12.58000 r 
 NOT 322.63400000 56582.62132410617158484 14.10000 r 
 NOT 322.63400000 56582.63177708486928452 10.39000 r 
 NOT 607.63400000 56583.96500100801198485 13.28000 r 
 NOT 607.63400000 56583.97546471167668614 12.64000 r 
 NOT 322.63400000 56585.70217699748318552 11.49000 r 
 NOT 322.63400000 56585.71174526235608582 10.42000 r 
 NOT 322.63400000 56585.72131349775598608 13.77000 r 
 NOT 322.63400000 56587.65164159273488664 9.91000 r 
 NOT 322.63400000 56587.67252572578018643 10.32000 r 
 NOT 322.63400000 56587.68296782354628505 10.40000 r 
 NOT 322.63400000 56587.69705074953398594 12.84000 r 
 NOT 322.63400000 56587.70749281857058577 11.89000 r 
 NOT 322.63400000 56587.71793488823958640 9.25000 r 
 NOT 322.63400000 56587.72837695883018583 9.67000 r 
 NOT 322.63400000 56587.73881903013778683 11.83000 r 
 NOT 322.63400000 56588.65104617893348760 13.36000 r 
 NOT 322.63400000 56588.67193031226888777 9.54000 r 
 NOT 322.63400000 56588.68237239474138534 12.25000 r 
 NOT 322.63400000 56588.69281444787648638 13.55000 r 
 NOT 322.63400000 56588.72027621564768651 9.48000 r 
 NOT 322.63400000 56588.73593932949498608 13.51000 r 
 NOT 322.63400000 56588.79167188876298766 13.34000 r 
 NOT 322.63400000 56588.92449146708708696 13.47000 r 
 NOT 322.63400000 56588.93493353932448642 12.36000 r 
 NOT 322.63400000 56588.94537561220058564 8.78000 r 
 NOT 322.63400000 56588.95581768585848792 11.83000 r 
 NOT 322.63400000 56588.96625975998268743 14.15000 r 
 NOT 322.63400000 56588.99828939336298461 11.95000 r 
 NOT 322.63400000 56589.01454234299228574 13.00000 r 
 NOT 322.63400000 56589.02266878816108786 8.79000 r 
 NOT 322.63400000 56592.69427490633918509 12.63000 r 
 NOT 322.63400000 56596.62184103809928715 11.21000 r 
 NOT 322.63400000 56596.63403072894488588 9.21000 r 
 NOT 322.63400000 56596.64622042088158693 13.54000 r 
 NOT 322.63400000 56601.82116353737248460 12.27000 r 
 NOT 322.63400000 56601.84899450453738723 13.33000 r 
 NOT 322.63400000 56601.87682544794078510 12.89000 r 
 NOT 607.63400000 56619.86873885370608761 13.89000 r 
 NOT 607.63400000 56619.88265431782458492 11.29000 r 
 NOT 607.63400000 56619.89656981283318515 10.68000 r 
 NOT 607.63400000 56619.91048527927958744 10.98000 r 
 NOT 607.63400000 56619.92440074667278793 9.98000 r 
 NOT 607.63400000 56619.93831624452988649 6.39000 r 
 NOT 322.63400000 56637.75746970989368734 8.59000 r 
 NOT 322.63400000 56637.77138506478018698 13.59000 r 
 NOT 322.63400000 56637.78530042088218721 11.36000 r 
 NOT 607.63400000 56713.58926193381018521 12.53000 r 
 NOT 607.63400000 56713.60317740168738609 10.19000 r 
 NOT 607.63400000 56747.58802990526948662 10.78000 r 
 NOT 322.63400000 56780.17138366640518754 10.65000 r 
 NOT 322.63400000 56780.17973293623188624 11.03000 r 
 NOT 322.63400000 56780.19643150736598614 11.45000 r 
 NOT 322.63400000 56780.20478080797318654 13.31000 r 
 NOT 322.63400000 56780.21313007895438574 9.25000 r 
 NOT 607.63400000 56815.33849447997098636 13.47000 r 
 NOT 607.63400000 56815.36155220664588583 12.91000 r 
 NOT 607.63400000 56815.38460996520968749 10.28000 r 
 NOT 322.63400000 56838.92592928909928673 9.46000 r 
 NOT 322.63400000 56871.24892617085128776 13.92000 r 
 NOT 607.63400000 56964.99523873078768688 12.02000 r 
 NOT 607.63400000 56965.00027770807268723 11.39000 r 
 NOT 607.63400000 56965.00531671502298536 11.79000 r 
 NOT 607.63400000 56965.01035569243958534 11.50000 r 
 NOT 607.63400000 56965.01539466948958790 12.46000 r 
 NOT 322.63400000 57011.51686530096028704 8.46000 r 
 NOT 322.63400000 57011.52905500604978783 8.92000 r 
 NOT 322.63400000 57011.54124471221998505 9.88000 r 
 NOT 322.63400000 57039.47937186604888637 11.08000 r 
 NOT 322.63400000 57039.48563710663638560 10.32000 r 
 NOT 322.63400000 57039.49190234699208446 10.64000 r 
 NOT 322.63400000 57039.49816758766388602 10.35000 r 
 NOT 322.63400000 57039.50443282903218645 9.64000 r 
 NOT 322.63400000 57039.51069806998978606 10.01000 r 
 NOT 322.63400000 57039.51696331166968790 9.52000 r 
 NOT 322.63400000 57039.52322855386108458 7.65000 r 
 NOT 322.63400000 57039.52949379596028479 10.08000 r 
 NOT 322.63400000 57039.53575903850238760 9.63000 r 
 NOT 322.63400000 57175.09284969632628659 10.77000 r 
 NOT 322.63400000 57175.11372292533248540 7.73000 r 
 NOT 322.63400000 57175.13459612604598448 10.71000 r 
 NOT 322.63400000 57175.15546935827688557 12.14000 r 
 NOT 322.66700000 57245.87316686145240041 11.73000 r 
 NOT 322.66700000 57245.87525583084210012 12.53000 r 
 NOT 322.66700000 57245.87734477052460136 13.08000 r 
 NOT 322.66700000 57245.87943374023129905 10.25000 r 
 NOT 322.66700000 57245.88152270972599922 13.96000 r 
 NOT 322.66700000 57245.88361164885839827 11.00000 r 
 NOT 322.66700000 57245.88778958843520073 8.10000 r 
 NOT 322.66700000 57245.88987852814040025 9.57000 r 
 NOT 322.66700000 57732.53733454914900136 11.01000 r 
 NOT 322.66700000 57732.54129402522820058 11.10000 r 
 NOT 322.66700000 57732.54525347043319883 13.05000 r 
 NOT 322.66700000 57732.55713186779950163 11.47000 r 
 NOT 322.66700000 57945.08575456710670082 12.94000 r 
 r 400.00000000 58084.76560502858621504 4.87000 r 
 NOT 400.00025600 58102.53765271560061478 11.72000 r 
 NOT 400.00025600 59168.58636567720289889 11.20000 r 
 NOT 400.00025600 59168.58975624818290129 8.85000 r 
 NOT 400.00025600 59168.59653742042520008 9.93000 r 
 NOT 400.00025600 59168.59992799153459941 10.26000 r 
 NOT 400.00025600 59168.60331856287779928 12.14000 r 
 NOT 400.00025600 59181.54023081550339924 8.25000 r 
 NOT 400.00025600 59181.54246086855360076 11.86000 r 
 NOT 400.00025600 59181.54469089122870074 13.47000 r 
 NOT 400.00025600 59181.54692094396460078 12.21000 r 
 NOT 400.00025600 59181.55361107263970055 10.41000 r 
 NOT 400.00025600 59181.56030120165240049 9.32000 r 
 NOT 400.00025600 59181.56253125442150065 11.16000 r 
 NOT 400.00025600 59181.56476130758250065 9.93000 r 
 NOT 400.00025600 59211.46508823966989965 9.00000 r 
 NOT 400.00025600 59211.46920699814459965 11.32000 r 
 NOT 400.00025600 59211.47332575689280176 10.37000 r 
 NOT 400.00025600 59211.47744451602250138 12.99000 r 
 NOT 400.00025600 59211.48568200375629900 9.30000 r 
 NOT 400.00025600 59246.39712813245127521 8.93000 r 
 NOT 400.00025600 59246.39965399610367669 11.83000 r 
 NOT 400.00025600 59246.40217986010267737 10.36000 r 
 NOT 400.00025600 59246.40470572384847614 12.21000 r 
 NOT 400.00025600 59246.40723158760367539 10.62000 r 
 NOT 400.00025600 59246.40975745140307751 7.76000 r 
 NOT 400.00025600 59286.29056098369077432 12.03000 r 
 NOT 400.00025600 59286.29574924371677724 12.83000 r 
 NOT 400.00025600 59286.30093753405387602 12.89000 r 
 NOT 400.00025600 59286.30612579457727662 8.71000 r 
 NOT 400.00025600 59286.31131405495237630 8.04000 r 
 NOT 400.00025600 59286.31650231569077647 10.17000 r 
 NOT 400.00025600 59345.09364854367677466 11.53000 r 
 NOT 400.00025600 59345.10143094273367481 11.84000 r 
 NOT 400.00025600 59345.10402507563937746 13.69000 r 
 NOT 400.00025600 59345.10661920864777485 11.90000 r 
 NOT 400.00025600 59345.10921334157917428 7.44000 r 
 NOT 400.00025600 59345.11180747475047426 7.98000 r 
 NOT 400.00025600 59345.11440160749637585 7.33000 r 
 NOT 400.00025600 59345.11699574082267716 11.47000 r 
 NOT 400.00025600 59345.11958987355007622 3.92000 r 
 NOT 400.00025600 59345.12218400686037612 14.01000 r 
 NOT 400.00025600 59365.03434658162397497 11.52000 r 
 NOT 400.00025600 59365.04267512095137604 8.38000 r 
 NOT 400.00025600 59365.04822746070947659 13.48000 r 
 NOT 400.00025600 59365.05100366041847693 9.56000 r 
 NOT 400.00025600 59365.05377983011617715 9.05000 r 
 NOT 400.00025600 59365.05655600000627459 8.80000 r 
 NOT 400.00025600 59365.05933219988327565 7.59000 r 
 NOT 400.00025600 59365.06210836970907607 9.28000 r 
 NOT 400.00025600 59365.06488453966237628 9.43000 r 
 NOT 400.00025600 59365.06766070956297554 8.61000 r 
 NOT 400.00025600 59365.07043690953727477 6.19000 r 
 NOT 400.00025600 59365.07321307943867694 7.34000 r 
 NOT 400.00025600 59392.95785668169327565 8.23000 r 
 NOT 400.00025600 59392.96062375159527491 8.11000 r 
 NOT 400.00025600 59392.96339082155957456 8.49000 r 
 NOT 400.00025600 59392.96615789144647479 9.02000 r 
 NOT 400.00025600 59392.96892496140487694 10.27000 r 
 NOT 400.00025600 59392.97169206107477635 5.33000 r 
 NOT 400.00025600 59392.97445913094117742 9.96000 r 
 NOT 400.00025600 59392.97722620093217571 12.57000 r 
 NOT 400.00025600 59392.97999327079807586 13.25000 r 
 NOT 400.00025600 59392.98276034075967544 11.49000 r 
 NOT 400.00025600 59392.98552741067017635 5.88000 r 
 NOT 400.00025600 59392.98829451091427600 11.46000 r 
 NOT 400.00025600 59392.99106158081137607 10.76000 r 
 NOT 400.00025600 59392.99382865077397753 10.20000 r 
 NOT 400.00025600 59392.99659572070507707 7.66000 r 
 NOT 400.00025600 59428.88554231685120044 14.20000 r 
 NOT 400.00025600 59428.88677110341869891 13.44000 r 
 NOT 400.00025600 59428.88799992035490050 10.50000 r 
 NOT 400.00025600 59428.89168631066560167 14.19000 r 
 NOT 400.00025600 59428.89291509742639974 6.37000 r 
 NOT 400.00025600 59428.89414391432670115 14.11000 r 
 NOT 400.00025600 59428.89537270106919919 11.18000 r 
 NOT 400.00025600 59468.74484306068740125 13.85000 r 
 NOT 400.00025600 59468.74764201355310078 9.78000 r 
 NOT 400.00025600 59468.75044093612790164 7.35000 r 
 NOT 400.00025600 59468.75323985894879897 8.04000 r 
 NOT 400.00025600 59468.75883773417460176 10.92000 r 
 NOT 400.00025600 59468.76443560963549828 13.76000 r 
 NOT 400.00025600 59468.76723453232829897 12.67000 r 
 NOT 400.00025600 59518.60524949173009901 13.44000 r 
 NOT 400.00025600 59518.61564877064419932 10.71000 r 
 NOT 400.00025600 59518.62084842522070005 8.52000 r 
 NOT 400.00025600 59518.62604804992119867 13.61000 r 
 NOT 400.00025600 59518.63644732960679917 12.97000 r 
 NOT 400.00025600 59518.64164701470719976 9.83000 r 
 NOT 400.00025600 59518.64684664024310123 13.61000 r 
 NOT 400.00025600 59518.65204626548959865 9.16000 r 
 NOT 400.00025600 59518.65724592112620073 7.75000 r 
 NOT 400.00025600 59547.52581430372509885 9.51000 r 
 NOT 400.00025600 59547.53280026065409913 6.77000 r 
 NOT 400.00025600 59547.53978621786230008 8.67000 r 
 NOT 400.00025600 59547.54677217522879928 7.70000 r 
 NOT 400.00025600 59547.55375813271680130 12.16000 r 
 NOT 400.00025600 59547.56074409030010131 8.72000 r 
 NOT 400.00025600 59582.44439775351749944 8.41000 r 
 NOT 400.00025600 59582.45422814317830174 4.49000 r 
 NOT 400.00025600 59582.46405853322659851 11.56000 r 
 NOT 400.00025600 59582.47388895386709962 6.34000 r 
 NOT 400.00025600 59693.12193022920410002 7.18000 r 
 NOT 400.00025600 59693.12775567115140163 6.56000 r 
 NOT 400.00025600 59693.13358108330589857 7.80000 r 
 NOT 400.00025600 59693.13940649511739878 6.45000 r 
 NOT 400.00025600 59693.14523193739369944 11.34000 r 
 NOT 400.00025600 59693.15105734971319862 10.75000 r 
