0		1
1		1
2		1
3		1
4		1
5		1
6		1
7		0.048432875
8		0.14636678
9		0.13049714
10		0.17255165
11		0.15741447
12		0.1281167
13		0.16400647
14		0.17975402
15		0.1690115
16		0.15778069
17		0.15717033
18		0.14123966
19		0.14679404
20		0.1788995
21		0.18939787
22		0.2273629
23		0.14893033
24		0.16296884
25		0.19306009
26		0.1694998
27		0.2019715
28		0.14123966
29		0.15918455
30		0.14099552
31		0.18292795
32		0.17590868
33		0.1604053
34		0.15363018
35		0.20154424
36		0.18195136
37		0.20270394
38		0.23255104
39		0.15277566
40		0.16132084
41		0.14050722
42		0.19574572
43		0.121097445
44		0.16840114
45		0.19019136
46		0.20471816
47		0.20886868
48		0.13263345
49		0.1518601
50		0.14996795
51		0.2014832
52		0.16925566
53		0.20068972
54		0.13544114
55		0.20746483
56		0.13855404
57		0.19733268
58		0.2047792
59		0.2038026
60		0.19476913
61		0.2849208
62		0.2031312
63		0.18195136
64		0.1408124
65		0.16772974
66		0.116763815
67		0.14606158
68		0.15466781
69		0.19971313
70		0.15417951
71		0.15759759
72		0.15369122
73		0.22254097
74		0.14416943
75		0.1909238
76		0.20416883
77		0.20575579
78		0.17011017
79		0.14966278
80		0.18762779
81		0.17438276
82		0.18805505
83		0.13745537
84		0.18707846
85		0.1657155
86		0.10425123
87		0.16956083
88		0.10571612
89		0.2108829
90		0.15619373
91		0.13629566
92		0.17157505
93		0.16962187
94		0.16431166
95		0.12280648
96		0.12408826
97		0.1259804
98		0.13873714
99		0.16602069
100		0.1948912
101		0.1551561
102		0.13104647
103		0.13892026
104		0.13818781
105		0.22168645
106		0.19135106
107		0.16492203
108		0.20441298
109		0.16187018
110		0.15161596
111		0.1436201
112		0.14056826
113		0.12939848
114		0.027954955
115		0.021057772
116		0.018250069
117		0.0145878475
118		0.0056764428
119		0.0009155553
120		0.00018311106
121		0.00018311106
122		0.00018311106
123		0.00018311106
124		0.00018311106
125		1
126		1
127		1
