
#     NAME                     P0                                     P1
                               (s)
-------------------------------------------------------------------------------------------------------
33    J0024-7204X   fre08      0.00477152291069356      5  rft+16     1.83610E-20        7  rft+16 
34    J0024-7204Y   frk+17     0.00219665714352123      5  frk+17     -3.51721E-20      10  frk+17 
35    J0024-7204Z   frk+17     0.004554447383906        3  frk+17     -4.54E-21          7  frk+17 

36    J0026-1955    mss+20     1.306150                 5  mbs+22     *                  0  *
37    J0026+6320    jml+09     0.31835777079            3  sjm+19     1.506E-16          6  sjm+19 
38    J0030+0451    lzb+00     0.0048654532114961      19  aab+21a    1.0172E-20         8  aab+21a 
39    J0033+57      hrk+08     0.315                    0  hrk+08     *                  0  *
40    J0033+61      hrk+08     0.912                    0  hrk+08     *                  0  *

41    J0034-0534    bhl+94     0.0018771818845850       2  aaa+10b    4.966E-21          1  aaa+10b 
42    B0031-07      lvw69a     0.9429509945598         17  hlk+04     4.08210E-16        7  hlk+04 
43    J0034+69      slr+14     0.03680412              16  slr+14     *                  0  *
44    J0036-1033    sbs+21     0.900009289              3  sbs+21     2.131E-16          3  sbs+21 
45    J0038-2501    acd+19     0.2569264575329         17  acd+19     0.0760E-17         6  acd+19 

46    J0039+35      scb+19     0.5367                   0  scb+19     *                  0  *
47    B0037+56      dtws85     1.1182253452412         13  hlk+04     2.878973E-15      12  hlk+04 
48    J0043-73      tsm+19     0.93742937              26  tsm+19     *                  0  *
49    J0045-7042    mfl+06     0.63233580002            6  mfl+06     2.49E-15           3  mfl+06 
50    J0045-7319    mmh+91     0.92627590497            3  kbm+96     4.4632E-15         9  kbm+96 

51    B0045+33      dtws85     1.217094296058           8  hlk+04     2.35454E-15        6  hlk+04 
52    J0050+03      dsm+16     1.36656                  0  dsm+16     *                  0  *
53    J0051+0423    snt97      0.35473179890            1  snt97      7E-18              2  snt97 
54    J0052-72      tsm+19     0.191444328             46  tsm+19     *                  0  *
55    J0054+66      hrk+08     1.39                     0  hrk+08     *                  0  *

56    J0054+69      kkl+15     *                        0  *          *                  0  *
57    J0054+6946    slr+14     0.832911328744           5  lsk+18     7.194E-16          7  lsk+18 
58    B0052+51      dtws85     2.115171148865           4  hlk+04     9.53764E-15        4  hlk+04 
59    B0053+47      dtws85     0.472036662076           7  hlk+04     3.32849E-15        7  hlk+04 
60    J0057-7201    ckm+01     0.7380624426             2  ckm+01     1.0E-16            8  ckm+01 

61    J0058+4950    slr+14     0.99602345227            4  lsk+18     8.04E-16          20  lsk+18 
62    J0058+6125    hrk+08     0.637                    0  hrk+08     *                  0  *
63    J0058-7218    met+21     0.02176610763           19  met+21     2.9E-14            3  met+21 
64    J0059+69      scb+19     1.1459                   0  scb+19     *                  0  *
65    J0100-7211    lfmp02     8.020392                 9  mgr+05     1.88E-11           8  mgr+05 

66    J0100+8023    scb+19     1.4936009186             2  tbc+20     0.3543E-15         6  tbc+20 
67    J0101-6422    kcj+12     0.0025731519721683       2  kcj+12     5.16E-21           3  kcj+12 
68    J0102+4839    hrm+11     0.0029641124215882       8  saa+23     1.141E-20          4  saa+23 
69    B0059+65      dbtb82     1.679164229064          12  hlk+04     5.95492E-15        9  hlk+04 
70    J0103+54      kkl+15     0.354304                 6  kkl+15     *                  0  *

71    J0104+64      mss+20     1.386                    0  mss+20     *                  0  *
72    J0106+4855    pga+12     0.0831573050050          6  pga+12     4.2792E-16         5  pga+12 
73    J0107+1322    scb+19     1.1973833938             1  tbc+20     0.687E-15          3  tbc+20 
74    J0108-1431    tnj+94     0.807564614019          20  hlk+04     7.704E-17         12  hlk+04 
75    B0105+65      dls72      1.2836598429             5  hlk+04     1.3051E-14         3  hlk+04 

76    B0105+68      dtws85     1.071118109859           5  hlk+04     4.809E-17          4  hlk+04 
77    J0109+11      tkt22      0.4327                   0  tkt22      *                  0  *
